"source_system","schema_name","table_name","column_name","data_type","nullable","description","sample_values"
"care_network","raw_benefits","care_locations","care_company_id","varchar","false","Company that owns or manages the care location","CO-PRIMARY"
"care_network","raw_benefits","care_locations","location_type","varchar","true","Clinic, urgent care center, virtual, or onsite category","clinic"
"care_network","raw_benefits","care_locations","region_code","varchar","true","Non-identifying operating region code","MIDWEST"
"care_network","raw_benefits","providers","provider_id","varchar","false","Provider business identifier","PRV-300"
"care_network","raw_benefits","providers","care_company_id","varchar","false","Care company affiliated with the provider","CO-PRIMARY"
"care_network","raw_benefits","providers","care_location_id","varchar","true","Primary care location for the provider","LOC-100"
"care_network","raw_benefits","providers","provider_type","varchar","true","Provider role or credential category","physician"
"care_network","raw_benefits","providers","specialty_category","varchar","true","Provider specialty category","family_medicine"
"care_network","raw_benefits","provider_service_authorizations","provider_service_authorization_id","varchar","false","Provider-to-service authorization identifier","AUTH-5001"
"care_network","raw_benefits","provider_service_authorizations","provider_id","varchar","false","Provider authorized to deliver the service","PRV-300"
"care_network","raw_benefits","provider_service_authorizations","benefit_service_id","varchar","false","Authorized primary care or urgent care service","SVC-PC"
"care_network","raw_benefits","provider_service_authorizations","authorization_status","varchar","true","Provider service authorization status","active"
"visits","raw_benefits","member_visits","member_visit_id","varchar","false","Member visit business identifier","VIS-9001"
"visits","raw_benefits","member_visits","member_id","varchar","false","Member receiving care","MBR-7001"
"visits","raw_benefits","member_visits","provider_id","varchar","false","Provider who delivered care","PRV-300"
"visits","raw_benefits","member_visits","care_company_id","varchar","false","Care company associated with the visit","CO-PRIMARY"
"visits","raw_benefits","member_visits","benefit_plan_id","varchar","false","Benefit plan used for the visit","PLAN-2026-PCUC"
"visits","raw_benefits","member_visits","benefit_service_id","varchar","false","Primary care or urgent care service used","SVC-PC"
"visits","raw_benefits","member_visits","visit_type","varchar","true","Primary care, urgent care, virtual, or onsite visit type","primary_care"
"visits","raw_benefits","member_visits","visit_status","varchar","true","Visit lifecycle status","completed"
"visits","raw_benefits","member_visits","visit_month","date","true","Month-level visit period for reporting","2026-02-01"
"visits","raw_benefits","member_visits","member_paid_amount","number","true","Amount paid by the member for the visit","25.00"
"visits","raw_benefits","member_visits","plan_paid_amount","number","true","Amount paid by the benefit plan for the visit","135.00"
"visits","raw_benefits","member_visits","allowed_amount","number","true","Allowed amount for the visit","160.00"
"visits","raw_benefits","member_visit_outcomes","member_visit_outcome_id","varchar","false","Visit outcome business identifier","OUT-9001"
"visits","raw_benefits","member_visit_outcomes","member_visit_id","varchar","false","Visit associated with the outcome","VIS-9001"
"visits","raw_benefits","member_visit_outcomes","outcome_category","varchar","true","Resolved, referred, escalated, or follow-up category","resolved"
"visits","raw_benefits","member_visit_outcomes","follow_up_recommended","boolean","true","Whether follow-up care was recommended","false"
"visits","raw_benefits","member_visit_outcomes","days_to_follow_up","number","true","Recommended number of days before follow-up","0"
